,tags
4778,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
4789,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
4791,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
4802,{'highway': 'traffic_signals'}
4815,{'highway': 'traffic_signals'}
4816,{'highway': 'traffic_signals'}
4822,{'highway': 'traffic_signals'}
4824,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
4860,{'railway': 'tram_level_crossing'}
4874,{'highway': 'crossing'}
4885,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
4957,"{'name': 'Вул. Степова', 'name:en': 'Stepova', 'name:ru': 'Степная улица', 'name:uk': 'Вул. Степова', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'railway': 'tram_stop', 'ref_name': 'Вул. Степова, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatramvaynihmarshrutahmstaodesi/', 'tram': 'yes', 'website': 'https://www.oget.od.ua/ru/glavnaya/'}"
4960,"{'crossing': 'marked', 'highway': 'crossing'}"
4962,"{'name': 'Прохоровський провулок', 'name:ru': 'Прохоровский переулок', 'name:uk': 'Прохоровський провулок', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'railway': 'tram_stop', 'ref_name': 'Прохоровський провулок, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatramvaynihmarshrutahmstaodesi/', 'tram': 'yes', 'website': 'https://www.oget.od.ua/ru/glavnaya/'}"
4963,{'highway': 'traffic_signals'}
4964,"{'name': 'Прохоровський провулок', 'name:ru': 'Прохоровский переулок', 'name:uk': 'Прохоровський провулок', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'railway': 'tram_stop', 'ref_name': 'Прохоровський провулок, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatramvaynihmarshrutahmstaodesi/', 'tram': 'yes', 'website': 'https://www.oget.od.ua/ru/glavnaya/'}"
4969,"{'name': ""Вул. М'ясоєдовська"", 'name:en': 'Miasoiedivska', 'name:ru': 'Мясоедовская улица', 'name:uk': ""Вул. М'ясоєдовська"", 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'railway': 'tram_stop', 'ref_name': ""Вул. М'ясоєдовська, Одеса"", 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatramvaynihmarshrutahmstaodesi/', 'tram': 'yes', 'website': 'https://www.oget.od.ua/ru/glavnaya/'}"
4970,"{'name': ""Вул. М'ясоєдовська"", 'name:en': 'Miasoiedivska', 'name:ru': 'Мясоедовская улица', 'name:uk': ""Вул. М'ясоєдовська"", 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'railway': 'tram_stop', 'ref_name': ""Вул. М'ясоєдовська, Одеса"", 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatramvaynihmarshrutahmstaodesi/', 'tram': 'yes', 'website': 'https://www.oget.od.ua/ru/glavnaya/'}"
4972,{'highway': 'traffic_signals'}
5003,{'highway': 'crossing'}
5005,{'highway': 'crossing'}
5018,{'kerb': 'raised'}
5020,"{'crossing': 'zebra', 'highway': 'crossing'}"
5029,"{'crossing': 'zebra', 'highway': 'crossing'}"
5030,"{'bus': 'yes', 'name': 'Застава 2', 'name:uk': 'Застава 2', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Застава 2, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
5031,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
5032,{'highway': 'traffic_signals'}
5044,"{'crossing': 'marked', 'crossing:island': 'yes', 'highway': 'crossing'}"
5079,"{'crossing': 'marked', 'highway': 'crossing'}"
5080,{'railway': 'tram_level_crossing'}
5081,{'railway': 'tram_level_crossing'}
5082,{'railway': 'tram_level_crossing'}
5086,"{'crossing': 'traffic_signals', 'crossing:island': 'no', 'highway': 'crossing'}"
5098,{'barrier': 'gate'}
5101,{'highway': 'crossing'}
5134,"{'barrier': 'block', 'motor_vehicle': 'no'}"
5149,{'highway': 'traffic_signals'}
5150,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
5158,{'highway': 'traffic_signals'}
5197,{'railway': 'tram_level_crossing'}
5213,{'highway': 'traffic_signals'}
5221,{'highway': 'traffic_signals'}
5222,{'barrier': 'lift_gate'}
5310,{'railway': 'level_crossing'}
5594,{'highway': 'traffic_signals'}
5597,"{'crossing': 'zebra', 'highway': 'crossing'}"
5636,{'railway': 'level_crossing'}
5650,{'highway': 'traffic_signals'}
5651,{'highway': 'traffic_signals'}
5654,"{'direction': 'forward', 'highway': 'stop'}"
5657,"{'direction': 'backward', 'highway': 'stop'}"
5666,{'railway': 'tram_level_crossing'}
5667,{'railway': 'tram_level_crossing'}
5681,{'highway': 'traffic_signals'}
5686,"{'access': 'no', 'barrier': 'lift_gate', 'bicycle': 'yes', 'foot': 'yes', 'locked': 'yes', 'motor_vehicle': 'no'}"
5715,{'highway': 'traffic_signals'}
5734,{'highway': 'traffic_signals'}
5755,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
5760,{'highway': 'traffic_signals'}
5763,"{'crossing': 'marked', 'crossing:island': 'no', 'highway': 'crossing', 'tactile_paving': 'no'}"
5767,"{'crossing': 'marked', 'highway': 'crossing', 'tactile_paving': 'yes'}"
5808,"{'access': 'private', 'barrier': 'gate', 'motor_vehicle': 'no'}"
5844,"{'highway': 'crossing', 'kerb': 'flush'}"
5858,{'barrier': 'gate'}
5863,"{'crossing': 'unmarked', 'crossing:island': 'no', 'highway': 'crossing', 'kerb': 'lowered'}"
5882,{'highway': 'crossing'}
5930,{'barrier': 'gate'}
5986,"{'crossing': 'marked', 'highway': 'crossing', 'kerb': 'lowered'}"
5989,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
5996,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
5998,"{'crossing': 'marked', 'highway': 'crossing'}"
6003,"{'crossing': 'unmarked', 'highway': 'crossing'}"
6023,"{'barrier': 'block', 'bicycle': 'yes', 'foot': 'yes', 'motor_vehicle': 'no'}"
6028,{'highway': 'traffic_signals'}
6029,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
6032,"{'bus': 'yes', 'name': 'Лікарня Водників', 'name:ru': 'Больница Водников', 'name:uk': 'Лікарня Водників', 'public_transport': 'stop_position'}"
6055,{'highway': 'crossing'}
6069,"{'crossing': 'marked', 'highway': 'crossing'}"
6073,"{'crossing': 'marked', 'highway': 'crossing'}"
6078,"{'crossing': 'marked', 'highway': 'crossing'}"
6080,"{'crossing': 'unmarked', 'highway': 'crossing'}"
6094,"{'crossing': 'uncontrolled', 'highway': 'crossing', 'kerb': 'lowered'}"
6108,"{'crossing': 'unmarked', 'highway': 'crossing', 'kerb': 'flush'}"
6137,"{'crossing': 'uncontrolled', 'flashing_lights': 'yes', 'highway': 'crossing'}"
6142,{'highway': 'traffic_signals'}
6145,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
6156,{'highway': 'traffic_signals'}
6157,"{'crossing': 'zebra', 'highway': 'crossing'}"
6211,{'noexit': 'yes'}
6218,{'highway': 'crossing'}
6316,{'barrier': 'border_control'}
6871,{'highway': 'motorway_junction'}
6881,{'highway': 'motorway_junction'}
6892,{'highway': 'motorway_junction'}
6903,{'highway': 'motorway_junction'}
6917,{'highway': 'motorway_junction'}
6937,{'highway': 'motorway_junction'}
6984,{'railway': 'level_crossing'}
7019,{'railway': 'level_crossing'}
7320,"{'crossing': 'unmarked', 'highway': 'crossing'}"
7321,"{'crossing': 'marked', 'highway': 'crossing'}"
7329,"{'crossing': 'traffic_signals', 'highway': 'crossing', 'kerb': 'yes'}"
7330,{'railway': 'tram_level_crossing'}
7331,{'railway': 'tram_level_crossing'}
7333,{'highway': 'traffic_signals'}
7377,{'barrier': 'swing_gate'}
7379,"{'access': 'yes', 'barrier': 'bollard', 'bollard': 'fixed', 'material': 'metal', 'maxwidth': '1'}"
7386,"{'barrier': 'block', 'bicycle': 'yes', 'foot': 'yes', 'motor_vehicle': 'no'}"
7389,"{'barrier': 'block', 'bicycle': 'yes', 'foot': 'yes', 'motor_vehicle': 'no'}"
7409,{'highway': 'traffic_signals'}
7419,"{'highway': 'traffic_signals', 'traffic_signals': 'crossing'}"
7441,{'highway': 'crossing'}
7447,{'highway': 'crossing'}
7481,"{'access': 'private', 'barrier': 'gate', 'description': 'Прохода к морю нет', 'foot': 'yes'}"
7489,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
7491,"{'highway': 'traffic_signals', 'traffic_signals': 'crossing'}"
7493,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
7497,{'traffic_calming': 'bump'}
7501,{'traffic_calming': 'bump'}
7505,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
7537,"{'crossing': 'unmarked', 'highway': 'crossing'}"
7556,"{'crossing': 'unmarked', 'highway': 'crossing'}"
7580,"{'crossing': 'unmarked', 'highway': 'crossing'}"
7591,"{'crossing': 'unmarked', 'highway': 'crossing'}"
7598,"{'direction': 'forward', 'highway': 'give_way'}"
7615,{'traffic_calming': 'bump'}
7618,{'barrier': 'block'}
7624,{'traffic_calming': 'bump'}
7625,{'traffic_calming': 'bump'}
7629,{'highway': 'traffic_signals'}
7630,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
7631,"{'crossing': 'marked', 'highway': 'crossing'}"
7677,"{'crossing': 'zebra', 'highway': 'crossing'}"
7681,"{'bus': 'yes', 'name': '11-а ст. Фонтанської дороги', 'name:en': '11th st. Fontanskoyi dorohy', 'name:ru': '11-я станция Фонтанской дороги', 'name:uk': '11-а ст. Фонтанської дороги', 'public_transport': 'stop_position', 'ref_name': '11-а ст. Фонтанської дороги, Одеса'}"
7686,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
7730,{'noexit': 'yes'}
7750,{'highway': 'traffic_signals'}
7787,"{'direction': 'forward', 'highway': 'stop', 'stop': 'minor'}"
7788,"{'direction': 'backward', 'highway': 'give_way'}"
7793,"{'crossing': 'unmarked', 'highway': 'crossing', 'kerb': 'raised'}"
7796,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
7799,"{'bicycle': 'yes', 'crossing': 'uncontrolled', 'highway': 'crossing'}"
7813,"{'bus': 'yes', 'name': 'Вул. Ромашкова', 'name:en': 'Romashkova Str.', 'name:uk': 'Вул. Ромашкова', 'public_transport': 'stop_position', 'ref_name': 'Вул. Ромашкова, Одеса'}"
7832,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
7845,"{'crossing': 'unmarked', 'highway': 'crossing', 'kerb': 'lowered'}"
7856,"{'crossing': 'marked', 'highway': 'crossing'}"
7906,{'traffic_calming': 'bump'}
7944,"{'highway': 'bus_stop', 'name': 'Технікум нафти та газу', 'name:en': 'Tekhnikum nafty ta hazu', 'name:ru': 'Техникум нефти и газа', 'name:uk': 'Технікум нафти та газу', 'public_transport': 'stop_position'}"
7948,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
7958,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
7959,{'highway': 'traffic_signals'}
7970,"{'crossing': 'unmarked', 'highway': 'crossing'}"
7974,{'barrier': 'swing_gate'}
7977,"{'crossing': 'unmarked', 'highway': 'crossing'}"
7988,{'barrier': 'gate'}
8020,"{'barrier': 'bollard', 'bollard': 'foldable', 'motor_vehicle': 'private'}"
8026,"{'crossing': 'unmarked', 'highway': 'crossing'}"
8044,"{'bus': 'yes', 'name': 'Вул. Семена Яхненка', 'name:ru': 'улица Семёна Яхненко', 'name:uk': 'Вул. Семена Яхненка', 'public_transport': 'stop_position', 'ref_name': 'Вул. Семена Яхненка, Одеса'}"
8086,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
8109,{'barrier': 'gate'}
8156,{'barrier': 'height_restrictor'}
8239,{'railway': 'tram_level_crossing'}
8290,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
8297,"{'bus': 'yes', 'name': 'Меморіал 411 батареї', 'name:ru': 'Мемориал 411-й батареи', 'name:uk': 'Меморіал 411 батареї', 'public_transport': 'stop_position', 'ref_name': 'Меморіал 411 батареї, Одеса'}"
8317,{'railway': 'tram_level_crossing'}
8321,{'railway': 'tram_level_crossing'}
8324,{'railway': 'tram_level_crossing'}
8356,"{'bus': 'yes', 'name': 'Меморіал 411 батареї', 'name:ru': 'Мемориал 411-й батареи', 'name:uk': 'Меморіал 411 батареї', 'public_transport': 'stop_position', 'ref_name': 'Меморіал 411 батареї, Одеса'}"
8378,{'barrier': 'gate'}
8395,{'highway': 'crossing'}
8396,{'highway': 'crossing'}
8398,{'highway': 'crossing'}
8408,{'highway': 'crossing'}
8501,"{'access': 'no', 'barrier': 'gate'}"
8506,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
8514,{'highway': 'crossing'}
8603,{'highway': 'traffic_signals'}
8612,"{'bus': 'yes', 'public_transport': 'stop_position'}"
8618,{'barrier': 'lift_gate'}
8844,{'barrier': 'gate'}
9086,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
9142,"{'barrier': 'block', 'bicycle': 'yes', 'foot': 'yes', 'material': 'concrete', 'motor_vehicle': 'no'}"
9251,"{'barrier': 'block', 'bicycle': 'yes', 'foot': 'yes', 'motor_vehicle': 'no'}"
9260,{'highway': 'traffic_signals'}
9262,"{'crossing': 'traffic_signals', 'crossing_ref': 'zebra', 'highway': 'crossing'}"
9282,"{'crossing': 'marked', 'highway': 'crossing'}"
9284,"{'bus': 'yes', 'name': 'Вул. Архітекторська', 'name:en': 'Vul. Arkhitektorska', 'name:ru': 'Архитекторская улица', 'name:uk': 'Вул. Архітекторська', 'public_transport': 'stop_position'}"
9286,"{'crossing': 'marked', 'highway': 'crossing'}"
9298,"{'crossing': 'marked', 'highway': 'crossing'}"
9341,{'highway': 'motorway_junction'}
9344,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
9345,"{'crossing': 'zebra', 'highway': 'crossing'}"
9357,"{'crossing': 'zebra', 'highway': 'crossing'}"
9360,"{'crossing': 'marked', 'highway': 'crossing'}"
9370,"{'crossing': 'zebra', 'highway': 'crossing'}"
9460,"{'crossing': 'uncontrolled', 'flashing_lights': 'yes', 'highway': 'crossing'}"
9463,"{'crossing': 'uncontrolled', 'flashing_lights': 'yes', 'highway': 'crossing'}"
9464,"{'crossing': 'uncontrolled', 'flashing_lights': 'yes', 'highway': 'crossing'}"
9472,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
9486,"{'direction': 'forward', 'highway': 'give_way'}"
9493,{'railway': 'tram_level_crossing'}
9494,{'railway': 'tram_level_crossing'}
9495,"{'crossing': 'unmarked', 'highway': 'crossing'}"
9502,{'highway': 'motorway_junction'}
9776,{'highway': 'crossing'}
9829,{'highway': 'crossing'}
9905,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
9908,"{'bus': 'yes', 'name': 'Пр-т Добровольського', 'name:en': ""Pr-t Dobrovol'skoho"", 'name:uk': 'Пр-т Добровольського', 'public_transport': 'stop_position'}"
9909,"{'bus': 'yes', 'name': 'Пр-т Добровольського', 'name:en': ""Pr-t Dobrovol'skoho"", 'name:uk': 'Пр-т Добровольського', 'public_transport': 'stop_position'}"
9915,"{'bus': 'yes', 'name': 'Вул. Державіна', 'name:en': 'Vul. Derzhavina', 'name:ru': 'Державина', 'name:uk': 'Вул. Державіна', 'public_transport': 'stop_position'}"
9917,"{'bus': 'yes', 'name': 'Вул. Державіна', 'name:en': 'Vul. Derzhavina', 'name:ru': 'улица Державина', 'name:uk': 'Вул. Державіна', 'public_transport': 'stop_position'}"
9919,"{'bus': 'yes', 'name': 'Вул. Кишинівська', 'name:en': 'Kyshynivska', 'name:ru': 'Кишинёвская улица', 'name:uk': 'Вул. Кишинівська', 'public_transport': 'stop_position'}"
9920,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
9921,"{'bus': 'yes', 'name': 'Вул. Кишинівська', 'name:en': 'Kyshynivska', 'name:ru': 'Кишинёвская улица', 'name:uk': 'Вул. Кишинівська', 'public_transport': 'stop_position'}"
9924,"{'bus': 'yes', 'name': '10-а лінія', 'name:en': 'Desiata Liniia', 'name:ru': '10-я линия', 'name:uk': '10-а лінія', 'public_transport': 'stop_position'}"
9925,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
9926,"{'bus': 'yes', 'name': '10-а лінія', 'name:en': 'Desiata Liniia', 'name:ru': '10-я линия', 'name:uk': '10-а лінія', 'public_transport': 'stop_position'}"
9928,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
9929,"{'bus': 'yes', 'name': 'Вул. Марсельська', 'name:en': 'Marselska', 'name:ru': 'Марсельская улица', 'name:uk': 'Вул. Марсельська', 'public_transport': 'stop_position'}"
9930,"{'bus': 'yes', 'name': 'Вул. Марсельська', 'name:en': 'Marselska', 'name:ru': 'Марсельская улица', 'name:uk': 'Вул. Марсельська', 'public_transport': 'stop_position'}"
9935,"{'bus': 'yes', 'name': 'Амазонка', 'name:en': 'Amazonka', 'name:ru': 'Амазонка', 'public_transport': 'stop_position'}"
9936,"{'bus': 'yes', 'name': 'Амазонка', 'name:en': 'Amazonka', 'name:ru': 'Амазонка', 'public_transport': 'stop_position'}"
9938,"{'crossing': 'marked', 'highway': 'crossing'}"
10026,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
10044,{'railway': 'level_crossing'}
10049,{'railway': 'level_crossing'}
10063,"{'access': 'permit', 'barrier': 'lift_gate'}"
10069,"{'mapillary': '2178686148935447', 'name': 'Сичавка', 'traffic_sign': 'city_limit', 'traffic_sign:direction': 'forward'}"
10080,"{'crossing': 'uncontrolled', 'crossing_ref': 'zebra', 'highway': 'crossing'}"
10091,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
10144,{'highway': 'traffic_signals'}
10196,{'highway': 'traffic_signals'}
10197,"{'access': 'private', 'bus': 'yes', 'name': 'Ст. Архітекторська', 'name:uk': 'Ст. Архітекторська', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Ст. Архітекторська, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
10209,{'highway': 'traffic_signals'}
10211,"{'bus': 'yes', 'name': 'Незалежності площа', 'name:en': 'Nezalezhnosti Square', 'name:ru': 'Независимости площадь', 'name:uk': 'Незалежності площа', 'public_transport': 'stop_position'}"
10213,{'highway': 'crossing'}
10218,"{'crossing': 'marked', 'highway': 'crossing'}"
10223,"{'crossing': 'marked', 'highway': 'crossing'}"
10224,"{'bus': 'yes', 'name': '7-а ст. Люстдорфської дороги', 'name:uk': '7-а ст. Люстдорфської дороги', 'public_transport': 'stop_position', 'ref_name': '7-а ст. Люстдорфської дороги, Одеса'}"
10229,{'highway': 'crossing'}
10230,{'highway': 'traffic_signals'}
10247,"{'bus': 'yes', 'name': 'Продмаг', 'name:uk': 'Продмаг', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Продмаг, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
10313,{'barrier': 'gate'}
10315,{'barrier': 'gate'}
10331,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
10345,"{'button_operated': 'yes', 'crossing': 'traffic_signals', 'highway': 'crossing'}"
10389,"{'gtfs_id': '139', 'highway': 'motorway_junction', 'name': 'вул. Інститутська', 'network': 'ТОВ Швидкі автобусні маршрути', 'public_transport': 'platform', 'route_ref': '15', 'transport:zone': '139'}"
10394,"{'gtfs_id': '141', 'name': 'вул. Центральна', 'network': 'ТОВ Швидкі автобусні маршрути', 'public_transport': 'platform', 'route_ref': '15', 'transport:zone': '141'}"
10395,"{'gtfs_id': '140', 'name': 'вул. Центральна', 'network': 'ТОВ Швидкі автобусні маршрути', 'public_transport': 'platform', 'route_ref': '15', 'transport:zone': '140'}"
10427,{'railway': 'level_crossing'}
10449,"{'bus': 'yes', 'name': 'Кладовище', 'name:uk': 'Кладовище', 'public_transport': 'stop_position', 'ref_name': 'Кладовище, с. Сухий Лиман'}"
10450,"{'bus': 'yes', 'name': 'Кладовище', 'name:uk': 'Кладовище', 'public_transport': 'stop_position', 'ref_name': 'Кладовище, с. Сухий Лиман'}"
10466,"{'bus': 'yes', 'name': 'Селище Таїрове', 'name:uk': 'Селище Таїрове', 'public_transport': 'stop_position', 'ref_name': 'Селище Таїрове, с. Таїрове'}"
10467,"{'crossing': 'marked', 'highway': 'crossing'}"
10469,"{'bus': 'yes', 'name': 'Селище Таїрове', 'name:uk': 'Селище Таїрове', 'public_transport': 'stop_position', 'ref_name': 'Селище Таїрове, с. Таїрове'}"
10477,{'railway': 'level_crossing'}
10583,"{'crossing': 'marked', 'highway': 'crossing'}"
10780,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
10782,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
10784,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
10785,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
10786,"{'bus': 'yes', 'name': 'Вул. Дерибасівська', 'name:en': 'Derybasivska', 'name:ru': 'Дерибасовская', 'name:uk': 'Вул. Дерибасівська', 'public_transport': 'stop_position', 'ref_name': 'Вул. Дерибасівська, Одеса'}"
10789,"{'direction': 'forward', 'highway': 'give_way', 'traffic_sign:forward': 'UA:2.1'}"
10790,{'highway': 'traffic_signals'}
10881,{'railway': 'level_crossing'}
10901,"{'maxspeed': '50', 'traffic_sign': 'maxspeed', 'traffic_sign:direction': 'backward'}"
11004,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
11411,"{'gtfs_id': '138', 'name': 'вул. Інститутська', 'network': 'ТОВ Швидкі автобусні маршрути', 'public_transport': 'platform', 'route_ref': '15', 'transport:zone': '138'}"
11644,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
11650,{'barrier': 'gate'}
11651,{'barrier': 'lift_gate'}
11685,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
11695,{'railway': 'level_crossing'}
11696,{'railway': 'level_crossing'}
11703,{'railway': 'level_crossing'}
11719,{'railway': 'level_crossing'}
11735,{'railway': 'level_crossing'}
11736,{'railway': 'level_crossing'}
11737,{'railway': 'level_crossing'}
11738,{'railway': 'level_crossing'}
11739,{'railway': 'level_crossing'}
11747,{'railway': 'level_crossing'}
11748,{'railway': 'level_crossing'}
11749,{'railway': 'level_crossing'}
11750,{'railway': 'level_crossing'}
11755,"{'crossing': 'marked', 'highway': 'crossing'}"
11757,{'railway': 'level_crossing'}
11759,{'railway': 'level_crossing'}
11760,{'railway': 'level_crossing'}
11767,{'railway': 'level_crossing'}
11821,{'kerb': 'no'}
11825,{'kerb': 'no'}
11841,{'kerb': 'no'}
11903,{'kerb': 'no'}
12637,{'highway': 'crossing'}
13136,{'highway': 'crossing'}
13143,{'highway': 'crossing'}
13560,"{'name': 'Crocmaz', 'traffic_sign': 'city_limit'}"
13595,{'highway': 'crossing'}
13807,{'highway': 'motorway_junction'}
13844,{'highway': 'motorway_junction'}
13854,{'highway': 'motorway_junction'}
13857,{'highway': 'motorway_junction'}
13862,{'highway': 'motorway_junction'}
13866,{'highway': 'motorway_junction'}
13874,{'highway': 'motorway_junction'}
13877,{'highway': 'motorway_junction'}
14191,{'barrier': 'block'}
14202,"{'barrier': 'block', 'noexit': 'yes'}"
14720,"{'bus': 'yes', 'name': 'Порт', 'name:en': 'Port', 'name:ru': 'Порт', 'name:uk': 'Порт', 'public_transport': 'stop_position'}"
14721,"{'bus': 'yes', 'name': 'Порт', 'name:en': 'Port', 'name:ru': 'Порт', 'name:uk': 'Порт', 'public_transport': 'stop_position'}"
14728,"{'direction': 'forward', 'highway': 'give_way'}"
14732,"{'bus': 'yes', 'name': 'ІДГУ', 'name:en': 'IDGU', 'name:ru': 'ИГГУ', 'name:uk': 'ІДГУ', 'public_transport': 'stop_position'}"
14734,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
14735,"{'button_operated': 'no', 'crossing': 'traffic_signals', 'highway': 'crossing', 'traffic_signals:sound': 'no', 'traffic_signals:vibration': 'no'}"
14736,"{'alt_name': 'Центр', 'alt_name:en': 'Centre', 'alt_name:ru': 'Центр', 'alt_name:uk': 'Центр', 'bus': 'yes', 'name': 'Музей Суворова', 'name:en': 'Muzei Suvorova', 'name:ru': 'Музей Суворова', 'name:uk': 'Музей Суворова', 'public_transport': 'stop_position'}"
14738,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'forward'}"
14739,"{'crossing': 'zebra', 'highway': 'crossing'}"
14743,"{'bus': 'yes', 'name': 'вулиця Івана Франка', 'name:en': 'Ivana Franka Street', 'name:ru': 'улица Ивана Франко', 'name:uk': 'вулиця Івана Франка', 'public_transport': 'stop_position'}"
14744,"{'crossing': 'marked', 'highway': 'crossing'}"
14748,"{'bus': 'yes', 'name': 'вулиця Івана Франка', 'name:en': 'Ivana Franka Street', 'name:ru': 'улица Ивана Франко', 'name:uk': 'вулиця Івана Франка', 'public_transport': 'stop_position'}"
14752,"{'bus': 'yes', 'name': 'вулиця Клушина', 'name:en': 'Klushyna Street', 'name:ru': 'улица Клушина', 'name:uk': 'вулиця Клушина', 'public_transport': 'stop_position'}"
14757,"{'crossing': 'marked', 'crossing:island': 'no', 'highway': 'crossing'}"
14762,"{'bus': 'yes', 'name': 'Нарсуд', 'name:en': 'Narsud', 'name:ru': 'Нарсуд', 'name:uk': 'Нарсуд', 'public_transport': 'stop_position'}"
14763,{'traffic_calming': 'bump'}
14770,"{'access': 'permissive', 'barrier': 'gate'}"
14776,"{'crossing': 'marked', 'highway': 'crossing'}"
14778,"{'bus': 'yes', 'name': 'Центр', 'name:en': 'Centre', 'name:ru': 'Центр', 'name:uk': 'Центр', 'public_transport': 'stop_position'}"
14781,"{'crossing': 'zebra', 'crossing:island': 'no', 'highway': 'crossing'}"
14782,"{'bus': 'yes', 'public_transport': 'stop_position'}"
14784,"{'crossing': 'marked', 'crossing:island': 'no', 'highway': 'crossing'}"
14786,"{'bus': 'yes', 'name': 'Морехідна школа', 'name:en': 'Morekhidna Shkola', 'name:ru': 'Мореходная школа', 'name:uk': 'Морехідна школа', 'public_transport': 'stop_position'}"
14788,"{'crossing': 'marked', 'crossing:island': 'no', 'highway': 'crossing'}"
14789,"{'bus': 'yes', 'name': 'Морехідна школа', 'name:en': 'Morekhidna Shkola', 'name:ru': 'Мореходная школа', 'name:uk': 'Морехідна школа', 'public_transport': 'stop_position'}"
14801,"{'direction': 'forward', 'highway': 'give_way'}"
14802,"{'crossing': 'unmarked', 'crossing:island': 'no', 'highway': 'crossing'}"
14805,"{'crossing': 'marked', 'crossing:island': 'no', 'highway': 'crossing'}"
