,tags
903,"{'bus': 'yes', 'name': 'Слобідський ринок', 'name:ru': 'Слободской рынок', 'name:uk': 'Слобідський ринок', 'public_transport': 'stop_position', 'ref_name': 'Слобідський ринок, Одеса'}"
905,{'railway': 'tram_level_crossing'}
932,"{'crossing': 'zebra', 'highway': 'crossing'}"
945,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
946,"{'bus': 'yes', 'name': 'Ольгіївський узвіз', 'name:ru': 'Ольгиевский спуск', 'name:uk': 'Ольгіївський узвіз', 'public_transport': 'stop_position', 'ref_name': 'Ольгіївський узвіз, Одеса'}"
955,"{'bus': 'yes', 'name': 'Матроський узвіз', 'name:uk': 'Матроський узвіз', 'public_transport': 'stop_position', 'ref_name': 'Матроський узвіз, Одеса'}"
956,"{'button_operated': 'no', 'crossing': 'traffic_signals', 'highway': 'crossing', 'traffic_signals:sound': 'no', 'traffic_signals:vibration': 'no'}"
970,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
1018,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
1019,"{'bus': 'yes', 'name': 'Вул. Пироговська', 'name:ru': 'Пироговская улица', 'name:uk': 'Вул. Пироговська', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Вул. Пироговська, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
1020,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
1021,{'highway': 'traffic_signals'}
1034,"{'crossing': 'marked', 'highway': 'crossing'}"
1041,"{'crossing': 'marked', 'highway': 'crossing'}"
1052,"{'bus': 'yes', 'name': 'Площа 10-го квітня', 'name:en': 'Desiatoho Kvitnia Square', 'name:uk': 'Площа 10-го квітня', 'public_transport': 'stop_position', 'ref_name': 'Площа 10-го квітня, Одеса', 'trolleybus': 'yes'}"
